Path,Artifact Type,Current Purpose,Referenced By,Classification,Information To Preserve,Canonical Destination,Recommended Action,Delete Preconditions,Risk,Git State,SHA256,Bytes,Reference Scan
.dockerignore,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,PROTECTED,当前实现及安全/兼容契约,.dockerignore,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,cab46d16da6bf5030e93910fb9d4369504dacd023b9b9f56cfb51ae4b29d3e4a,176,KEEP asset: convention discovery; delete decisions require seven-domain refresh
.env,local-sensitive-configuration,本地运行配置/备份，仅登记路径，内容未读取,"环境或Spring local加载，可能仍使用; GOVERNANCE_LINKS=docs/repository-governance.md:74,docs/scaffold-upgrade-implementation-plan.md:408,docs/scaffold-upgrade-implementation-plan.md:1218,docs/scaffold-upgrade-implementation-plan.md:1657,docs/scaffold-upgrade-implementation-plan.md:2008,docs/evidence/project-consolidation/current-state.md:65,docs/evidence/project-consolidation/current-state.md:110,docs/evidence/project-consolidation/work-packages.md:19",PROTECTED,用户配置及运行恢复能力，不可入库,用户受控Secret/本地配置存储,DEFER,禁止自动删/提交/复制；需明确用户所有权与实际使用/保全决定,CRITICAL,ignored,NOT_READ_SENSITIVE,3867,隐式环境加载，未读配置值
.env.before-rebuild-20260828,local-sensitive-configuration,本地运行配置/备份，仅登记路径，内容未读取,环境或Spring local加载，可能仍使用,PROTECTED,用户配置及运行恢复能力，不可入库,用户受控Secret/本地配置存储,DEFER,禁止自动删/提交/复制；需明确用户所有权与实际使用/保全决定,CRITICAL,ignored,NOT_READ_SENSITIVE,1089,隐式环境加载，未读配置值
.env.example,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,PROTECTED,当前实现及安全/兼容契约,.env.example,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,756ea13a31620b71a738f65251019e7326e69e79c72c5b0bc7d06780ddcb64a5,3151,KEEP asset: convention discovery; delete decisions require seven-domain refresh
.github/workflows/quality.yml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,KEEP_ENGINEERING_ASSET,当前实现及安全/兼容契约,.github/workflows/quality.yml,KEEP,禁止仅为清理删除；需确定性缺陷及最小WP,HIGH,tracked-clean,2417170303f8f4fcf3889f0e7655e309d101ffb2f55b9399dd3ae7444dc04326,12917,KEEP asset: convention discovery; delete decisions require seven-domain refresh
.gitignore,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,PROTECTED,当前实现及安全/兼容契约,.gitignore,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,5da4e3b997216b1b9f75bf7a62ffff53228f2a7b5ebfa1d74d966e17e46e71ba,642,KEEP asset: convention discovery; delete decisions require seven-domain refresh
.qoder/skills/grill-me/SKILL.md,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,PROTECTED,当前实现及安全/兼容契约,.qoder/skills/grill-me/SKILL.md,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,74147eb6010a65957efef2b9e0f0b3ff935c1def7fc117697151b1d0f3610556,635,KEEP asset: convention discovery; delete decisions require seven-domain refresh
AGENTS.md,canonical-document,事实/架构/契约/开发部署用户指南,README/docs-manifest/文档链接及开发执行入口,PROTECTED,当前有效事实、约束和多语语义,AGENTS.md,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,9e2fe9d84a8d02d97e73287da70276d78b2e96e7a82abdf8ef08e3b53e7890d2,38749,KEEP asset: convention discovery; delete decisions require seven-domain refresh
LICENSE,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,PROTECTED,当前实现及安全/兼容契约,LICENSE,KEEP,工具/授权/许可/执行配置，非历史Agent日志；修改须具体证据,HIGH,tracked-clean,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,11558,KEEP asset: convention discovery; delete decisions require seven-domain refresh
README.en.md,canonical-document,事实/架构/契约/开发部署用户指南,README/docs-manifest/文档链接及开发执行入口,KEEP_CANONICAL,当前有效事实、约束和多语语义,README.en.md,KEEP,发现事实错误定点修订并同步docs-manifest；不得另建平行事实源,HIGH,tracked-clean,edbabd52b902e2af72e6e20ff81ea9b6ce1994929c397bb2c3baf31added8c68,31476,KEEP asset: convention discovery; delete decisions require seven-domain refresh
